final_courses_unique_names,,
institution,name,Fee
Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,599
Yale University,Financial Markets,49
Yale University,Introduction to Psychology,49
University of Michigan,Programming for Everybody (Getting Started with Python),49
Google,The Bits and Bytes of Computer Networking,49
DeepLearning.AI,AI For Everyone,49
Google,Crash Course on Python,49
Johns Hopkins University,Psychological First Aid,49
DeepLearning.AI,Neural Networks and Deep Learning,49
University of Michigan,Successful Negotiation: Essential Strategies and Skills,49
University of Virginia,Fundamentals of Project Planning and Management,59
"University of California, Irvine",Project Launch,777
London Business School,"Brand Management: Aligning Business, Brand and Behaviour",49
Stanford University,Writing in the Sciences,79
Stanford University,Stanford Introduction to Food and Health,39
Johns Hopkins University,"HTML, CSS, and Javascript for Web Developers",79
Macquarie University,Excel Skills for Business: Essentials,49
Yale University,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,49
University of Colorado Boulder,"Everyday Excel, Part 1",49
University of California San Diego,Learning How to Learn: Powerful mental tools to help you master tough subjects,49
University of Pennsylvania,Viral Marketing and How to Craft Contagious Content,95
University of Michigan,Python Data Structures,49
Università Bocconi,Private Equity and Venture Capital,49
DeepLearning.AI,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",49
Google,Operating Systems and You: Becoming a Power User,49
IBM,Tools for Data Science,49
ESSEC Business School,Diversity and inclusion in the workplace,79
Johns Hopkins University,Design and Interpretation of Clinical Trials,49
California Institute of the Arts,Visual Elements of User Interface Design,49
Università Bocconi,Management of Fashion and Luxury Companies,49
Universitat Autònoma de Barcelona,Primeros Auxilios Psicológicos (PAP),29
Wesleyan University,Social Psychology,49
"University of California, Irvine",Initiating and Planning Projects,49
University of Pennsylvania,Computational Thinking for Problem Solving,49
Atlassian,Agile with Atlassian Jira,49
California Institute of the Arts,Fundamentals of Graphic Design,49
University of Pennsylvania,Introduction to Marketing,79
University of Virginia,Marketing Analytics,49
DeepLearning.AI,Natural Language Processing with Classification and Vector Spaces,49
University of Pennsylvania,Fundamentals of Quantitative Modeling,79
GitLab,How to Manage a Remote Team,49
Imperial College London,Mathematics for Machine Learning: Linear Algebra,49
University of Michigan,Introduction to Data Science in Python,49
University of Pennsylvania,Customer Analytics,79
University of Pennsylvania,English for Career Development,49
University of London,Global Diplomacy – Diplomacy in the Modern World,49
"University of California, Davis",SQL for Data Science,49
Duke University,Medical Neuroscience,49
Stanford University,International Women's Health and Human Rights,29
Stanford University,Child Nutrition and Cooking,39
The University of Chicago,Understanding the Brain: The Neurobiology of Everyday Life,49
Facebook,Introduction to Social Media Marketing,49
West Virginia University,Forensic Accounting and Fraud Examination,49
University of Pittsburgh,Clinical Terminology for International and U.S. Students,49
University of Colorado Boulder,Science of Exercise,49
University of Virginia,Digital Product Management: Modern Fundamentals,49
Duke University,Data Science Math Skills,49
DeepLearning.AI,Structuring Machine Learning Projects,49
University of Pennsylvania,An Introduction to American Law,49
"University of California, Davis",The Strategy of Content Marketing,49
IBM,Introduction to Cybersecurity Tools & Cyber Attacks,49
Johns Hopkins University,The Data Scientist’s Toolbox,49
The University of Edinburgh,Animal Behaviour and Welfare,49
DeepLearning.AI,Convolutional Neural Networks in TensorFlow,49
University of Pennsylvania,Positive Psychology: Martin E. P. Seligman’s Visionary Science,79
Johns Hopkins University,Introduction to the Biology of Cancer,49
DeepLearning.AI,Convolutional Neural Networks,49
University of Michigan,Using Python to Access Web Data,49
Duke University,Introductory Human Physiology,49
